time_sec,pid,package,process_group,pss,paused_time,total_time
84,1,/init,native,1802,0,0
84,395,ueventd,native,804,0,0
84,430,mqsasd,native,2606,0,0
84,431,logd,native,2571,0,0
84,440,debuggerd,native,269,0,0
84,441,debuggerd64,native,298,0,0
84,442,vold,native,1238,0,0
84,444,debuggerd64:signaller,native,294,0,0
84,445,debuggerd:signaller,native,239,0,0
84,451,perfd,native,614,0,0
84,517,healthd,native,484,0,0
84,520,rmt_storage,native,534,0,0
84,521,tftp_server,native,513,0,0
84,525,esepmdaemon,native,570,0,0
84,527,qseecomd,native,499,0,0
84,528,pm-service,native,782,0,0
84,530,lmkd,native,733,0,0
84,531,servicemanager,native,626,0,0
84,532,surfaceflinger,native,46929,0,0
84,534,gx_fpd,native,714,0,0
84,536,mm-pp-dpps,native,4108,0,0
84,538,pm-proxy,native,602,0,0
84,569,qseecomd,native,717,0,0
84,590,sensors.qcom,native,833,0,0
84,648,fingerprintd,native,3991,0,0
84,684,cnd,native,4718,0,0
84,686,cnss_diag,native,967,0,0
84,687,time_daemon,native,957,0,0
84,688,thermal-engine,native,1740,0,0
84,689,wcnss_service,native,810,0,0
84,691,adsprpcd,native,870,0,0
84,692,hvdcp_opti,native,453,0,0
84,693,zygote64,native,4670,0,0
84,694,zygote,native,10222,0,0
84,696,shelld,native,3918,0,0
84,697,otad,native,1042,0,0
84,698,fdpp,native,574,0,0
84,701,audioserver,native,11371,0,0
84,702,cameraserver,native,3289,0,0
84,703,drmserver,native,1428,0,0
84,705,installd,native,771,0,0
84,707,keystore,native,1233,0,0
84,708,media.codec,native,1562,0,0
84,710,mediadrmserver,native,1377,0,0
84,711,media.extractor,native,1979,0,0
84,713,mediaserver,native,1904,0,0
84,715,netd,native,1496,0,0
84,716,rild,native,4639,0,0
84,717,dpmd,native,463,0,0
84,718,cnss-daemon,native,901,0,0
84,737,loc_launcher,native,601,0,0
84,742,ATFWD-daemon,native,739,0,0
84,753,qseeproxydaemon,native,3915,0,0
84,754,mm-qcamera-daemon,native,24839,0,0
84,755,audiod,native,1945,0,0
84,756,mdtpd,native,1079,0,0
84,757,mtd,native,3967,0,0
84,776,vsimd,native,2578,0,0
84,778,mlipayd,native,3907,0,0
84,780,gatekeeperd,native,755,0,0
84,814,dpmd,native,469,0,0
84,824,imsqmidaemon,native,613,0,0
84,826,ipacm-diag,native,482,0,0
84,832,ipacm,native,677,0,0
84,838,imsdatadaemon,native,877,0,0
84,851,rild,native,4575,0,0
84,858,qti,native,878,0,0
84,863,msm_irqbalance,native,526,0,0
84,868,netmgrd,native,1830,0,0
84,1334,lowi-server,native,1094,0,0
84,1335,slim_daemon,native,1725,0,0
84,1667,adbd,native,754,0,0
84,1699,wpa_supplicant,native,1695,0,0
84,2514,mcd,native,1399,0,0
84,3564,iptables-restore,native,693,0,0
84,3565,ip6tables-restore,native,729,0,0
84,7062,dumpsys,native,1088,0,0
84,7150,com.google.android.configupdater,native,5993,0,0
84,7204,com.google.android.gms.ui,native,43235,0,0
84,7233,com.google.android.videos,native,16927,0,0
84,2754,com.qualcomm.qti.services.secureui:sui_service,pers,4675,0,0
84,2731,com.quicinc.wbcserviceapp,pers,4526,0,0
84,2716,com.mi.AutoTest,pers,4461,0,0
84,2702,com.xiaomi.finddevice,pers,9283,0,0
84,2690,com.fingerprints.serviceext,pers,4500,0,0
84,2671,com.xiaomi.xmsf,pers,12266,0,0
84,2659,com.miui.daemon,pers,38146,0,0
84,2022,com.android.phone,pers,16443,0,0
84,2005,.dataservices,pers,6449,0,0
84,1739,com.android.systemui,pers,67183,0,0
84,1516,system,pers,174531,2.6553333,220.98366
84,5788,com.ebay.motorsapp,fore,263980,3.874,140.261
84,1963,com.google.android.gms.persistent,fore,47080,1.7325001,131.4735
84,6183,com.mgmresorts.mgmresorts,fore,118811,6.8615713,191.39328
84,6598,com.google.android.gm,fore,38429,0,0
84,2608,com.miui.securitycenter.remote,fore,35686,0,0
84,3546,com.touchtype.swiftkey,vis,75825,4.426,129.76
84,3111,com.google.android.gms,vis,43886,12.99,79.588
84,5820,com.google.android.apps.photos,vis,28571,0,0
84,6805,com.google.android.gms.unstable,vis,22445,0,0
84,5250,com.miui.cloudservice,vis,12107,0,0
84,5092,com.xiaomi.joyose,vis,10071,0,0
84,3280,com.miui.analytics,vis,7349,0,0
84,2829,com.android.smspush,vis,4432,0,0
84,2641,com.google.android.googlequicksearchbox:interactor,vis,23560,0,0
84,2506,com.google.android.ext.services,vis,4817,0,0
84,2230,com.qualcomm.qcrilmsgtunnel,vis,5454,0,0
84,3431,com.lbe.security.miui,percept,13443,0,0
84,2995,com.xiaomi.location.fused,percept,5597,0,0
84,5276,com.android.chrome,backup,45691,0,0
84,2579,com.android.deskclock,backup,7548,0,0
84,1938,com.android.settings:remote,servicea,9334,0,0
84,3437,com.google.android.googlequicksearchbox:search,servicea,29922,0,0
84,2054,com.miui.home,home,46643,0,0
84,3933,com.android.vending,prev,34471,12.62,76.411
84,5599,com.hamilton.app,prev,127407,0,0
84,5965,com.spotlightsix.zentimerlite2,prev,149919,7.557667,240.43701
84,2781,com.google.process.gapps,prev,8723,0,0
84,3688,com.miui.powerkeeper,serviceb,13578,0,0
84,4859,com.facebook.services,serviceb,7192,0,0
84,2809,android.process.media,serviceb,10437,0,0
84,5386,com.reflectlyApp,cached,63566,0,0
84,1719,com.google.android.inputmethod.latin,cached,30530,0,0
84,5461,com.google.android.apps.maps,cached,51102,0,0
84,6737,com.android.printspooler,cached,4168,0,0
84,6534,com.android.chrome:webview_service,cached,8550,0,0
84,5019,com.android.vending:download_service,cached,9369,0,0
84,6703,com.android.chrome:privileged_process0,cached,14690,0,0
84,6685,com.android.chrome:sandboxed_process0,cached,13791,0,0
84,5409,com.google.android.apps.docs,cached,28501,0,0
84,6226,com.google.android.apps.tachyon,cached,20438,0,0
84,5896,android.process.acore,cached,19125,0,0
84,5564,com.xiaomi.account:accountservice,cached,16719,0,0
