time_start_sec,time_end_sec,launch_time,draw_time_avg,draw_time_median,total_frames,total_frames_median,janky_frames,janky_frames_median,janky_ratio,janky_ratio_median,percentile_50_ms,percentile_90_ms,percentile_95_ms,percentile_99_ms,missed_vsync_count,high_input_latency_count,slow_ui_thread_count,slow_bitmap_uploads_count,slow_issue_draw_commands_count
84,114,161002,34.029114,10.120365,9,1,2,1,0.3469697,0.21212122,2034,2050,2051,2101,0,0,1,0,1
114,144,0,28.223799,14.334562,0,0,0,0,0.0,0.0,3962,3962,3962,3962,0,0,0,0,0
144,174,0,61.2727,61.2727,0,0,0,0,0.2,0.0,2994,2994,2994,2994,0,0,0,0,0
174,204,0,15.069644,15.069644,7,1,1,0,0.03636364,0.0,1986,1989,2003,2025,0,0,1,0,0
204,234,0,24.448845,9.814689,7,1,2,1,0.4625,0.3125,1004,1007,1009,1092,0,0,0,0,2
234,264,0,20.109621,18.439312,0,0,0,0,0.0,0.0,2974,2974,2974,2974,0,0,0,0,0
264,294,0,83.44259,20.930412,1,1,0,0,0.35,0.0,1515,1517,1517,1517,0,0,0,0,0
294,324,0,14.276142,11.868067,1,1,0,0,0.2,0.0,1990,1990,1990,1990,0,0,0,0,0
324,354,0,14.73696,13.010088,0,1,0,0,0.2,0.0,2024,2024,2024,2024,0,0,0,0,0
354,384,0,207.32086,131.15823,0,0,0,0,0.3,0.0,2537,2537,2537,2537,0,0,0,0,0
384,414,0,26.000046,26.000046,0,0,0,0,0.2,0.0,3013,3013,3013,3013,0,0,0,0,0
414,444,0,56.82145,15.930528,0,0,0,0,0.2,0.0,2976,2976,2976,2976,0,0,0,0,0
444,474,0,41.44516,42.44291,39,0,39,0,0.4,0.0,2982,2985,2987,3013,26,0,37,38,2
474,504,0,58.04016,46.046867,4,3,3,0,0.37333333,0.0,1009,1053,1053,1053,1,0,3,2,1
504,534,0,38.661476,13.385205,2,1,0,0,0.26000002,0.0,1042,1047,1047,1047,0,0,0,0,0
534,564,0,49.976624,15.159679,0,1,0,1,0.6,1.0,1040,1040,1040,1040,0,0,0,0,0
564,594,0,58.235455,19.483147,0,0,0,0,0.2,0.0,2981,2981,2981,2981,0,0,0,0,0
