time_start_sec,time_end_sec,launch_time,draw_time_avg,draw_time_median,total_frames,total_frames_median,janky_frames,janky_frames_median,janky_ratio,janky_ratio_median,percentile_50_ms,percentile_90_ms,percentile_95_ms,percentile_99_ms,missed_vsync_count,high_input_latency_count,slow_ui_thread_count,slow_bitmap_uploads_count,slow_issue_draw_commands_count
79,109,0,46.651676,10.694855,3,0,1,0,0.37121212,0.10606061,2568,2569,2582,2592,0,0,0,0,0
109,139,567001,117.974144,78.130295,6,0,1,0,0.2413793,0.0,3021,3026,3027,3033,1,0,0,0,0
139,169,0,14.441555,8.597317,7,1,0,0,0.01818182,0.0,1986,1987,1988,2024,0,0,0,0,0
169,199,0,19.79549,14.294004,1,1,0,0,0.1,0.0,1993,1993,1993,1993,0,0,0,0,0
199,229,0,137.29353,137.29353,0,0,0,0,0.2,0.0,3023,3023,3023,3023,0,0,0,0,0
229,259,0,29.681856,20.697887,0,1,0,0,0.3,0.0,1501,1501,1501,1501,0,0,0,0,0
259,289,0,54.059967,11.820546,0,0,0,0,0.2,0.0,3011,3011,3011,3011,0,0,0,0,0
289,319,0,90.45219,25.530128,1,1,0,1,0.5,0.5,2040,2040,2040,2040,0,0,0,0,0
319,349,0,54.668293,14.016701,0,0,0,0,0.1,0.0,2993,2993,2993,2993,0,0,0,0,0
349,379,0,130.68376,130.68376,0,1,0,0,0.0,0.0,1987,1987,1987,1987,0,0,0,0,0
379,409,0,64.698364,14.323657,0,1,0,0,0.2,0.0,2035,2035,2035,2035,0,0,0,0,0
409,439,0,74.372086,21.095161,1,1,0,0,0.46666664,0.33333334,1536,1536,1536,1536,0,0,0,0,0
439,469,0,67.9433,26.195122,0,1,0,0,0.2,0.0,2034,2034,2034,2034,0,0,0,0,0
469,499,0,81.086105,19.166264,1,1,0,0,0.26666668,0.0,1036,1038,1038,1038,0,0,0,0,0
499,529,0,56.56234,15.936972,1,1,0,0,0.3,0.0,2027,2027,2027,2027,0,0,0,0,0
529,559,0,91.65015,19.137049,0,1,0,0,0.3,0.0,1534,1534,1534,1534,0,0,0,0,0
559,589,0,45.35671,15.473621,1,0,0,0,0.05,0.0,2973,2975,2975,2975,0,0,0,0,0
589,619,0,10.607605,9.908456,0,0,0,0,0.0,0.0,2974,2974,2974,2974,0,0,0,0,0
619,649,0,101.169685,21.402876,1,0,0,0,0.18333334,0.0,2994,2995,2995,2995,0,0,0,0,0
649,679,0,19.612083,20.777199,0,1,0,0,0.2,0.0,1989,1989,1989,1989,0,0,0,0,0
679,709,0,12.397453,13.077251,0,1,0,0,0.0,0.0,1987,1987,1987,1987,0,0,0,0,0
709,739,0,28.323631,28.323631,0,0,0,0,0.2,0.0,3489,3489,3489,3489,0,0,0,0,0
739,769,0,68.75921,15.533549,1,0,0,0,0.05,0.0,2976,2978,2978,2978,0,0,0,0,0
769,799,0,18.278107,13.96334,0,1,0,0,0.35,0.0,2013,2013,2013,2013,0,0,0,0,0
799,829,0,55.123962,15.02519,0,0,0,0,0.0,0.0,2974,2974,2974,2974,0,0,0,0,0
829,859,0,70.220505,12.263865,0,1,0,0,0.16666667,0.0,1688,1688,1688,1688,0,0,0,0,0
859,889,0,67.51291,19.943243,0,1,0,0,0.25,0.0,2248,2250,2250,2250,0,0,0,0,0
889,919,0,69.781624,16.684908,0,1,0,0,0.3,0.0,2025,2025,2025,2025,0,0,0,0,0
919,949,0,93.34616,16.385351,0,0,0,0,0.0,0.0,2975,2975,2975,2975,0,0,0,0,0
949,979,0,19.274918,22.193817,0,0,0,0,0.3,0.0,2995,2995,2995,2995,0,0,0,0,0
979,1009,0,58.723503,12.229431,1,1,0,0,0.2,0.0,1066,1066,1066,1066,0,0,0,0,0
1009,1039,0,113.25057,17.661484,0,1,0,0,0.3,0.0,2025,2025,2025,2025,0,0,0,0,0
1039,1069,0,60.29002,15.498454,0,0,0,0,0.2,0.0,2976,2976,2976,2976,0,0,0,0,0
1069,1099,0,18.684353,13.012295,1,1,1,0,0.35,0.0,90,95,95,95,0,0,0,0,0
1099,1129,0,146.6355,125.05239,1,1,0,0,0.4,0.0,1038,1038,1038,1038,0,0,0,0,0
1129,1159,0,41.629543,13.539144,0,0,0,0,0.15,0.0,2502,2502,2502,2502,0,0,0,0,0
1159,1189,0,16.6462,16.788414,1,1,0,0,0.2,0.0,1002,1002,1002,1002,0,0,0,0,0
1189,1219,0,71.62216,19.102816,0,1,0,0,0.4,0.0,1037,1037,1037,1037,0,0,0,0,0
1219,1249,0,67.68997,11.342934,1,0,0,0,0.2,0.0,3012,3012,3012,3012,0,0,0,0,0
1249,1279,0,9.656109,9.656109,1,0,1,0,0.15555556,0.0,2485,2501,2501,2501,0,0,0,0,0
1279,1309,0,44.406906,29.923574,8,2,7,0,0.4,0.0,2028,2033,2037,2042,1,0,7,6,0
1309,1339,0,66.06306,60.937008,34,1,28,1,0.4519841,0.35714287,1018,1039,1046,1085,23,0,26,26,6
1339,1369,0,27.046967,15.328598,32,3,12,1,0.34202084,0.27906978,1003,1012,1015,1040,1,0,6,3,6
1369,1399,0,24.441538,12.928587,0,0,0,0,0.33333334,0.0,2515,2515,2515,2515,0,0,0,0,0
1399,1429,250001,174.69656,61.947605,0,1,0,1,0.7777778,1.0,1217,1217,1217,1217,0,0,0,0,0
1429,1459,0,89.43909,47.254883,1,1,1,1,0.6,1.0,2047,2048,2048,2048,0,0,0,0,1
1459,1489,0,39.043396,10.522425,6,1,2,1,0.65925926,1.0,1042,1057,1065,1070,0,0,1,1,1
1489,1519,0,20.539553,10.207311,2,0,0,0,0.22272727,0.0,3470,3472,3477,3481,0,0,0,0,0
1519,1549,0,25.59426,24.074095,4,1,1,1,0.44761905,0.23809524,1992,1995,2005,2015,0,0,0,0,0
1549,1579,0,19.563301,9.279649,0,0,0,0,0.35,0.0,2980,2980,2980,2980,0,0,0,0,0
1579,1609,0,30.167582,27.952135,0,1,0,1,0.6,1.0,2030,2030,2030,2030,0,0,0,0,0
1609,1639,0,169.30891,233.99754,0,0,0,0,0.4,0.0,3015,3015,3015,3015,0,0,0,0,0
1639,1669,0,89.367226,36.9041,0,0,0,0,0.4666667,0.33333334,2534,2535,2535,2535,0,0,0,0,0
1669,1699,0,69.50823,24.043589,4,1,1,1,0.45,0.25,1990,2018,2018,2018,0,0,0,0,1
1699,1729,0,35.08936,10.271866,1,1,0,1,0.5,0.5,2032,2032,2032,2032,0,0,0,0,0
1729,1759,0,66.032585,24.679253,1,1,0,0,0.4666667,0.33333334,1532,1533,1533,1533,0,0,0,0,0
1759,1789,0,29.41068,21.328375,5,0,2,0,0.2857143,0.0,2979,2993,2996,3007,0,0,2,1,1
1789,1819,0,51.41613,28.90592,20,1,3,1,0.5121827,0.5609137,2013,2015,2015,2022,0,0,2,1,1
1819,1849,0,11.343327,10.099446,64,0,2,0,0.20625,0.0,3011,3012,3012,3015,0,0,1,1,0
1849,1879,0,14.185134,9.918563,1,1,0,0,0.33333334,0.0,2006,2013,2013,2013,0,0,0,0,0
1879,1909,0,14.235296,10.247436,18,1,1,1,0.41425973,0.0712985,2009,2010,2013,2024,0,0,0,0,1
1909,1939,0,21.596579,10.6574,3,2,2,1,0.43333334,0.5,2013,2039,2059,2059,1,0,1,0,1
1939,1969,0,22.593664,10.329691,19,2,5,2,0.8473118,1.0,75,87,98,104,3,0,4,2,3
1969,1999,0,96.00092,24.719172,0,0,0,0,0.2,0.0,3964,3964,3964,3964,0,0,0,0,0
1999,2029,0,26.065567,26.065567,26,1,3,0,0.22047243,0.0,1990,1991,1993,2007,0,0,1,1,1
2029,2059,0,13.963995,10.10269,26,1,3,1,0.42015505,0.1007752,2036,2037,2038,2053,0,0,1,1,1
2059,2089,0,11.188412,10.028724,11,1,1,1,0.40630633,0.28153154,2013,2013,2014,2016,0,0,1,0,0
2089,2119,0,58.245247,32.095364,23,0,2,0,0.21724138,0.0,2975,2976,2978,2988,0,0,1,1,1
2119,2149,0,13.029249,10.267731,20,1,1,0,0.31206352,0.022222223,2012,2013,2015,2022,0,0,1,0,0
2149,2179,0,15.128296,10.227041,11,1,3,1,0.45,0.25,1006,1010,1014,1022,0,0,2,1,1
2179,2209,0,96.24055,24.50304,0,0,0,0,0.4,0.0,3003,3003,3003,3003,0,0,0,0,0
2209,2239,0,28.862917,24.946148,0,0,0,0,0.4,0.0,2979,2979,2979,2979,0,0,0,0,0
2239,2269,0,14.9575615,10.425886,35,1,4,1,0.42080927,0.10404624,1039,1040,1041,1055,1,0,2,0,2
2269,2299,0,76.94694,26.24136,22,0,2,0,0.112389386,0.0,3963,3964,3965,3969,0,0,1,1,1
2299,2329,0,18.33163,10.969971,0,1,0,1,0.6,1.0,2030,2030,2030,2030,0,0,0,0,0
2329,2359,0,30.921474,30.921474,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2359,2389,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2389,2419,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2419,2449,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2449,2479,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2479,2509,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2509,2539,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2539,2569,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2569,2599,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2599,2629,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2629,2659,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2659,2689,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2689,2719,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2719,2749,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2749,2779,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2779,2809,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2809,2839,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2839,2869,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2869,2899,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2899,2929,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2929,2959,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2989,3019,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3019,3049,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3049,3079,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3079,3109,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3109,3139,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3139,3169,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3169,3199,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3199,3229,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3229,3259,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3259,3289,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3289,3319,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3319,3349,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3349,3379,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3379,3409,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3409,3439,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3439,3469,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3469,3499,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3499,3529,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3559,3589,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3589,3619,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3619,3649,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3649,3679,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3679,3709,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3709,3739,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3739,3769,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3769,3799,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3799,3829,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3829,3859,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3859,3889,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3889,3919,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3919,3949,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3949,3979,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
3979,4009,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
4009,4039,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
