time_sec,pid,package,process_group,pss,paused_time,total_time
117,1,/init,native,1814,0,0
117,394,ueventd,native,878,0,0
117,430,mqsasd,native,2625,0,0
117,431,logd,native,2856,0,0
117,440,debuggerd,native,272,0,0
117,441,debuggerd64,native,313,0,0
117,442,vold,native,1315,0,0
117,444,debuggerd64:signaller,native,294,0,0
117,445,debuggerd:signaller,native,236,0,0
117,451,perfd,native,631,0,0
117,518,healthd,native,492,0,0
117,521,rmt_storage,native,548,0,0
117,522,tftp_server,native,523,0,0
117,526,esepmdaemon,native,581,0,0
117,528,qseecomd,native,525,0,0
117,529,pm-service,native,806,0,0
117,531,lmkd,native,738,0,0
117,532,servicemanager,native,642,0,0
117,533,surfaceflinger,native,31959,0,0
117,535,gx_fpd,native,737,0,0
117,538,mm-pp-dpps,native,5032,0,0
117,540,pm-proxy,native,616,0,0
117,570,qseecomd,native,718,0,0
117,593,sensors.qcom,native,820,0,0
117,628,fingerprintd,native,4910,0,0
117,687,cnd,native,5653,0,0
117,689,cnss_diag,native,960,0,0
117,690,time_daemon,native,873,0,0
117,691,thermal-engine,native,1801,0,0
117,692,wcnss_service,native,820,0,0
117,694,adsprpcd,native,878,0,0
117,695,hvdcp_opti,native,469,0,0
117,696,zygote64,native,8778,0,0
117,697,zygote,native,10288,0,0
117,699,shelld,native,4843,0,0
117,700,otad,native,1039,0,0
117,701,fdpp,native,577,0,0
117,704,audioserver,native,11950,0,0
117,705,cameraserver,native,18642,0,0
117,706,drmserver,native,1550,0,0
117,707,installd,native,782,0,0
117,708,keystore,native,1163,0,0
117,709,media.codec,native,1848,0,0
117,711,mediadrmserver,native,1406,0,0
117,712,media.extractor,native,2711,0,0
117,714,mediaserver,native,2293,0,0
117,717,netd,native,1478,0,0
117,719,rild,native,5173,0,0
117,721,dpmd,native,476,0,0
117,722,cnss-daemon,native,912,0,0
117,724,loc_launcher,native,609,0,0
117,727,ATFWD-daemon,native,768,0,0
117,729,qseeproxydaemon,native,4826,0,0
117,730,mm-qcamera-daemon,native,30278,0,0
117,734,audiod,native,2206,0,0
117,735,mdtpd,native,1103,0,0
117,736,mtd,native,4869,0,0
117,737,vsimd,native,2632,0,0
117,738,mlipayd,native,4823,0,0
117,739,gatekeeperd,native,789,0,0
117,818,dpmd,native,529,0,0
117,832,imsqmidaemon,native,617,0,0
117,835,msm_irqbalance,native,531,0,0
117,847,ipacm-diag,native,490,0,0
117,849,imsdatadaemon,native,919,0,0
117,855,ipacm,native,745,0,0
117,877,rild,native,4993,0,0
117,888,qti,native,882,0,0
117,897,netmgrd,native,1802,0,0
117,1261,lowi-server,native,1086,0,0
117,1262,slim_daemon,native,1851,0,0
117,1671,adbd,native,790,0,0
117,1702,wpa_supplicant,native,1766,0,0
117,2422,mcd,native,1515,0,0
117,3407,iptables-restore,native,745,0,0
117,3410,ip6tables-restore,native,666,0,0
117,8179,mdnsd,native,724,0,0
117,9076,dumpsys,native,568,0,0
117,9094,com.android.chrome:webview_service,native,9628,0,0
