time_sec,pid,package,process_group,pss,paused_time,total_time
108,1,/init,native,1839,0,0
108,395,ueventd,native,796,0,0
108,430,mqsasd,native,2625,0,0
108,431,logd,native,2724,0,0
108,440,debuggerd,native,276,0,0
108,441,debuggerd64,native,314,0,0
108,442,vold,native,1300,0,0
108,444,debuggerd64:signaller,native,294,0,0
108,445,debuggerd:signaller,native,235,0,0
108,452,perfd,native,631,0,0
108,519,healthd,native,492,0,0
108,522,rmt_storage,native,548,0,0
108,523,tftp_server,native,519,0,0
108,527,esepmdaemon,native,577,0,0
108,529,qseecomd,native,525,0,0
108,530,pm-service,native,795,0,0
108,532,lmkd,native,738,0,0
108,533,servicemanager,native,638,0,0
108,534,surfaceflinger,native,30962,0,0
108,537,gx_fpd,native,722,0,0
108,540,mm-pp-dpps,native,5033,0,0
108,541,pm-proxy,native,616,0,0
108,573,qseecomd,native,718,0,0
108,575,sensors.qcom,native,824,0,0
108,629,fingerprintd,native,4915,0,0
108,687,cnd,native,5664,0,0
108,689,cnss_diag,native,952,0,0
108,690,time_daemon,native,875,0,0
108,691,thermal-engine,native,1790,0,0
108,692,wcnss_service,native,822,0,0
108,694,adsprpcd,native,858,0,0
108,695,hvdcp_opti,native,469,0,0
108,696,zygote64,native,8907,0,0
108,697,zygote,native,13604,0,0
108,700,shelld,native,4855,0,0
108,701,otad,native,1051,0,0
108,702,fdpp,native,577,0,0
108,706,audioserver,native,12003,0,0
108,707,cameraserver,native,18620,0,0
108,709,drmserver,native,1580,0,0
108,710,installd,native,791,0,0
108,711,keystore,native,1171,0,0
108,712,media.codec,native,1900,0,0
108,716,mediadrmserver,native,1426,0,0
108,717,media.extractor,native,2734,0,0
108,718,mediaserver,native,2441,0,0
108,720,netd,native,1456,0,0
108,725,rild,native,5227,0,0
108,729,dpmd,native,505,0,0
108,731,cnss-daemon,native,913,0,0
108,733,loc_launcher,native,609,0,0
108,739,ATFWD-daemon,native,768,0,0
108,748,qseeproxydaemon,native,4827,0,0
108,751,mm-qcamera-daemon,native,34005,0,0
108,759,audiod,native,2209,0,0
108,787,mdtpd,native,1088,0,0
108,788,mtd,native,4874,0,0
108,789,vsimd,native,2670,0,0
108,790,mlipayd,native,4824,0,0
108,799,gatekeeperd,native,789,0,0
108,805,dpmd,native,593,0,0
108,823,ipacm-diag,native,487,0,0
108,840,imsqmidaemon,native,622,0,0
108,846,ipacm,native,749,0,0
108,853,msm_irqbalance,native,527,0,0
108,854,rild,native,5031,0,0
108,857,qti,native,887,0,0
108,867,imsdatadaemon,native,920,0,0
108,870,netmgrd,native,1809,0,0
108,1276,lowi-server,native,1083,0,0
108,1278,slim_daemon,native,1848,0,0
108,1653,adbd,native,726,0,0
108,1684,wpa_supplicant,native,1765,0,0
108,2404,mcd,native,1439,0,0
108,3370,iptables-restore,native,561,0,0
108,3371,ip6tables-restore,native,566,0,0
108,4836,com.miui.cloudservice,native,0,0,0
108,5490,android.process.acore,native,0,0,0
108,7310,com.miui.notification,native,0,0,0
108,8029,mdnsd,native,736,0,0
108,8081,dumpsys,native,568,0,0
108,8086,com.xiaomi.misettings,native,7440,0,0
108,8112,com.xiaomi.providers.appindex,native,38212,0,0
108,8130,com.android.mms,native,29143,0,0
108,8142,org.codeaurora.ims,native,5319,0,0
108,2644,com.qualcomm.qti.services.secureui:sui_service,pers,4701,0,0
108,2633,com.quicinc.wbcserviceapp,pers,4440,0,0
108,2618,com.mi.AutoTest,pers,4395,0,0
108,2603,com.xiaomi.finddevice,pers,10734,0,0
108,2572,com.fingerprints.serviceext,pers,4515,0,0
108,2564,com.xiaomi.xmsf,pers,14136,0,0
108,2546,com.miui.daemon,pers,30599,0,0
108,1986,com.android.phone,pers,18037,0,0
108,1975,.dataservices,pers,8472,0,0
108,1724,com.android.systemui,pers,70601,0,0
108,1502,system,pers,183090,2.652,100.391
108,6207,com.android.chrome,fore,131644,0,0
108,1933,com.google.android.gms.persistent,fore,85320,2.95225,112.59799
108,6944,com.android.chrome:sandboxed_process0,fore,37936,0,0
108,7110,com.android.chrome:privileged_process0,fore,60084,0,0
108,2486,com.miui.securitycenter.remote,fore,40499,0,0
108,2959,com.google.android.gms,vis,88990,7.9695997,163.2662
108,3611,com.touchtype.swiftkey,vis,64823,2.92,136.862
108,6405,com.google.android.gms.unstable,vis,25403,0,0
108,4959,com.xiaomi.joyose,vis,8815,0,0
