time_start_sec,time_end_sec,launch_time,draw_time_avg,draw_time_median,total_frames,total_frames_median,janky_frames,janky_frames_median,janky_ratio,janky_ratio_median,percentile_50_ms,percentile_90_ms,percentile_95_ms,percentile_99_ms,missed_vsync_count,high_input_latency_count,slow_ui_thread_count,slow_bitmap_uploads_count,slow_issue_draw_commands_count
151,181,983005,90.79866,22.015373,49,8,12,2,0.19679905,0.06845238,2481,2572,2628,2748,5,0,8,0,7
181,211,0,26.940315,9.790236,36,5,12,4,0.3574026,0.25974026,1997,2088,2109,2250,6,0,9,0,5
211,241,0,27.355356,9.69388,57,4,11,4,0.415694,0.18716578,1132,1149,1157,1260,5,0,8,0,4
241,271,0,47.702362,10.552177,51,33,16,7,0.19587341,0.21212122,998,1052,1109,1252,10,0,13,2,6
271,301,0,35.029854,11.228932,57,0,18,0,0.2374434,0.125,2488,2511,2539,2573,9,0,15,1,4
301,331,0,17.25418,6.077169,86,73,24,18,0.25494772,0.26666668,9,43,91,213,8,1,15,1,11
331,361,0,22.917341,10.007899,44,36,8,5,0.14492945,0.18666667,996,1017,1049,1236,4,0,5,0,2
361,391,0,29.010805,9.738026,100,11,16,5,0.3440448,0.18181819,1008,1109,1119,1193,5,0,13,0,6
391,421,0,29.309351,10.354186,93,0,10,0,0.19834061,0.0,2986,3003,3005,3030,5,0,6,0,3
421,451,0,19.579378,8.680365,84,29,8,5,0.080447674,0.06315789,996,1006,1017,1054,4,0,5,0,2
451,481,0,27.292566,6.6769247,61,15,9,4,0.18910602,0.09697991,1498,1531,1554,1668,4,0,6,0,3
481,511,0,22.400414,9.1129,85,20,4,1,0.043705016,0.016949153,1984,2013,2016,2045,2,0,3,0,1
511,541,0,15.857786,7.826373,96,20,21,8,0.3479669,0.2287234,21,65,86,209,7,0,15,0,7
541,571,0,13.460227,8.059128,46,22,8,6,0.1865212,0.19594595,996,1056,1072,1089,4,0,6,0,1
571,601,0,25.276354,9.837988,41,26,12,7,0.34268352,0.2173913,22,87,117,145,8,0,10,1,1
601,631,0,17.007578,8.324312,69,50,10,3,0.15352994,0.14961006,506,520,538,576,4,0,6,0,3
631,661,0,9.972108,5.824266,96,0,10,0,0.121249996,0.0,3011,3013,3015,3020,1,0,7,0,2
661,691,0,14.362917,7.269077,71,4,11,3,0.40547603,0.1509434,1023,1062,1092,1273,6,0,7,0,2
691,721,0,22.229418,7.901332,26,1,4,1,0.2647714,0.14925373,1992,2004,2011,2045,2,0,3,0,1
721,751,0,22.384254,8.323365,88,66,15,12,0.21093397,0.14179105,1000,1059,1118,1181,8,0,12,1,3
751,781,0,11.928191,8.218092,90,39,15,1,0.12551245,0.06923077,1491,1497,1510,1553,3,0,10,0,5
781,811,0,14.786347,9.643643,179,0,6,0,0.017220352,0.0,2972,2973,2976,3015,1,0,4,0,2
811,841,0,17.008448,7.9461594,48,19,4,4,0.112961814,0.04901961,1984,2022,2043,2056,2,0,3,0,0
841,871,0,8.410317,6.998093,78,0,4,0,0.1322139,0.0,2975,2994,3002,3005,1,0,3,0,1
871,901,0,21.057901,7.8556566,58,42,7,6,0.09714821,0.083903134,1984,2005,2028,2117,4,0,5,0,1
901,931,0,15.789089,8.088915,52,1,10,1,0.26995313,0.11340206,1994,2000,2014,2056,2,0,6,0,4
931,961,0,17.366953,8.882498,194,119,17,6,0.12821066,0.14432989,996,1012,1029,1075,8,0,11,0,4
961,991,0,17.538662,9.216796,43,0,3,0,0.060896553,0.0,2973,2983,2990,3012,2,0,2,0,0
991,1021,0,13.8261,8.531263,37,34,11,12,0.31981492,0.33333334,10,39,84,134,4,1,8,0,3
1021,1051,0,22.587614,11.365456,48,24,9,3,0.30313244,0.20645161,1004,1058,1079,1118,4,0,6,0,4
1051,1081,0,13.127866,7.815966,189,21,11,3,0.07152452,0.050059594,1984,1999,2008,2039,5,0,8,1,4
1081,1111,0,10.067043,7.6808834,43,20,5,1,0.14584097,0.01831502,1513,1519,1539,1609,2,0,3,0,1
1111,1141,0,22.58141,8.048931,20,1,3,1,0.45926857,0.23076923,1017,1025,1039,1069,1,0,1,0,1
1141,1171,0,14.074644,8.295715,85,26,14,5,0.2768579,0.18922222,1000,1016,1030,1061,8,0,10,0,4
1171,1201,0,17.480484,8.787052,90,3,18,2,0.4330327,0.30769232,1094,1220,1283,1300,8,0,11,2,8
1201,1231,0,34.4535,11.436976,64,36,16,4,0.2360886,0.08163265,1001,1028,1047,1083,7,0,10,0,6
1231,1261,0,24.238052,10.162838,58,21,14,9,0.1739563,0.20833333,996,1021,1042,1087,5,0,10,0,4
1261,1291,0,13.109443,7.838406,176,0,20,0,0.02312925,0.0,2972,2974,2978,2993,10,0,11,0,8
1291,1321,0,21.170658,9.001408,179,26,19,8,0.26019254,0.115384616,999,1034,1057,1117,8,0,12,0,9
1321,1351,815,20.794867,8.42691,110,26,6,2,0.12344603,0.043766405,1492,1524,1533,1596,3,0,5,0,1
1351,1381,0,13.092953,7.9816084,44,0,9,0,0.07305842,0.0,2973,3016,3024,3090,4,0,6,0,2
1381,1411,0,15.904948,9.388505,53,59,9,5,0.2306542,0.09352518,1004,1031,1047,1199,2,0,7,0,1
1411,1441,0,15.779197,8.076117,43,12,5,2,0.18250461,0.0952381,1498,1513,1555,1658,3,0,3,0,1
1441,1471,0,27.223782,6.4821453,83,54,12,4,0.08017012,0.074074075,1984,1989,2005,2065,3,0,10,1,1
1471,1501,0,19.772068,8.213101,92,8,6,2,0.37186038,0.1764706,69,172,183,195,2,0,4,0,2
1501,1531,0,12.934525,7.806342,89,57,17,10,0.24326713,0.1335505,998,1041,1053,1154,5,0,11,0,7
1531,1561,0,21.507015,9.043894,60,0,8,0,0.060539216,0.0,2973,2987,2992,3050,3,0,7,0,2
1561,1591,0,23.373142,7.025216,58,14,15,2,0.12744455,0.06097561,2479,2513,2527,2582,7,0,12,0,4
1591,1621,0,50.731678,11.621646,38,7,7,4,0.38316268,0.20353982,1055,1113,1132,1181,4,0,6,0,1
1621,1651,0,29.673449,7.7037926,74,19,7,4,0.29573935,0.21052632,1016,1032,1047,1078,3,0,4,0,2
