time_start_sec,time_end_sec,launch_time,draw_time_avg,draw_time_median,total_frames,total_frames_median,janky_frames,janky_frames_median,janky_ratio,janky_ratio_median,percentile_50_ms,percentile_90_ms,percentile_95_ms,percentile_99_ms,missed_vsync_count,high_input_latency_count,slow_ui_thread_count,slow_bitmap_uploads_count,slow_issue_draw_commands_count
78,108,0,47.60978,11.952382,77,8,40,6,0.59185934,0.72,1034,1147,1210,1500,15,1,27,3,23
108,138,0,73.79846,22.792982,75,20,19,11,0.3354489,0.23529412,12,146,175,300,8,0,10,2,9
138,168,0,10.943798,8.5943575,60,9,7,0,0.10830674,0.03846154,1897,1902,1925,1995,4,0,5,0,2
168,198,0,20.644556,8.721036,87,76,10,8,0.44048017,0.33900228,45,108,118,183,6,0,6,0,4
198,228,0,17.302778,7.281335,22,8,5,4,0.17002419,0.07534247,2481,2517,2523,2532,2,0,4,0,0
228,258,980,16.0343,7.017843,103,49,8,6,0.15995093,0.07237615,1658,1671,1697,1739,5,0,5,0,2
258,288,0,41.603172,10.389472,52,32,14,5,0.2470736,0.18609023,506,583,622,833,10,0,12,0,5
288,318,0,21.711857,6.7752523,95,1,8,0,0.046043783,0.0,1984,1989,1994,2039,3,0,7,0,1
318,348,0,16.52463,8.579872,46,0,12,0,0.105492376,0.0,2973,2997,3014,3090,6,0,9,0,3
348,378,0,42.332447,9.75769,27,29,9,7,0.23028874,0.18189323,1494,1545,1607,1676,4,0,8,0,2
378,408,0,31.829744,8.731074,53,17,7,6,0.33649224,0.23404256,1025,1083,1137,1220,4,0,6,0,2
408,438,0,22.225239,7.9576406,71,23,12,10,0.30858716,0.14925373,1023,1070,1090,1150,6,0,9,0,2
438,468,0,13.510392,6.9402933,61,8,5,1,0.06299283,0.07885305,1983,2012,2035,2060,2,0,3,0,1
468,498,0,11.29913,6.5963736,40,14,6,4,0.2675193,0.116910025,1527,1587,1630,1649,3,0,5,0,2
498,528,0,66.18714,18.924795,38,48,8,10,0.49853745,0.26530612,85,138,155,230,6,0,8,0,0
528,558,0,33.76163,7.161964,13,0,3,0,0.09545455,0.0,2972,3010,3025,3050,2,0,2,0,0
558,588,0,14.829855,6.2378616,32,0,4,0,0.069112256,0.0,2972,2996,3008,3012,3,0,3,0,0
588,618,0,19.24255,7.2619114,63,16,9,6,0.17898187,0.13340965,1490,1531,1557,1594,5,0,6,0,2
618,648,0,15.881729,7.2758474,68,52,10,14,0.11888721,0.11666667,995,1015,1037,1125,5,0,7,1,3
648,678,0,25.123041,9.0376625,18,1,2,0,0.061904766,0.0,1983,2005,2008,2085,1,0,1,0,0
678,708,0,12.784295,6.590529,32,0,2,0,0.01625,0.0,2972,2974,2975,2997,0,0,1,0,1
708,738,0,9.069677,6.727454,88,0,11,0,0.0425,0.0,2973,2977,2983,3009,3,0,7,0,4
738,768,995,31.881945,9.459513,85,1,11,0,0.14345649,0.045722716,2484,2502,2532,2561,4,0,8,0,3
768,798,0,0.0,0.0,17,0,4,0,0.15626103,0.0,2976,3030,3036,3050,2,0,3,0,1
798,828,0,55.002335,5.6903486,34,30,4,5,0.09359971,0.06603774,1984,2013,2059,2140,2,0,3,0,0
828,858,0,28.393227,9.087474,109,48,32,15,0.246522,0.297561,997,1048,1100,1230,11,0,23,2,12
858,888,0,45.292995,17.18691,41,8,13,4,0.46036586,0.5,28,104,141,274,6,0,10,1,4
888,918,0,47.465076,49.97913,42,1,7,1,0.2659992,0.058052436,1996,2013,2056,2076,2,0,5,0,2
918,948,0,60.37408,13.759341,38,2,7,1,0.29909912,0.16216215,1994,2018,2026,2083,3,0,5,0,2
948,978,0,10.717094,7.5850806,56,0,8,0,0.028169015,0.0,3961,3964,3966,3980,1,0,5,0,4
978,1008,0,26.765287,7.48496,33,0,8,0,0.2565509,0.03448276,2495,2513,2519,2623,2,0,6,0,2
1008,1038,0,60.044502,8.466104,66,64,20,12,0.37615547,0.2647059,1004,1030,1097,1178,6,0,16,1,5
1038,1068,0,32.817722,10.221525,83,22,19,11,0.19589457,0.20447284,1986,2087,2152,2300,9,0,15,1,6
1068,1098,0,40.931232,9.757423,143,0,10,0,0.21400562,0.0,2985,2985,2989,3008,6,0,7,0,3
1098,1128,0,14.954632,9.545486,46,0,16,0,0.26839826,0.0,3021,3026,3033,3070,4,0,14,0,0
1128,1158,0,32.946987,8.062701,73,0,12,0,0.17169216,0.0,2987,2996,3012,3070,4,0,10,0,0
1158,1188,0,28.580296,10.689731,170,19,13,4,0.1429365,0.054156173,1986,2032,2123,2170,7,0,9,1,4
1188,1218,0,34.219475,8.176601,29,6,5,6,0.25780645,0.12903225,2012,2043,2053,2100,3,0,4,0,1
1218,1248,0,20.397697,7.9071417,50,0,11,0,0.13017094,0.0,2973,3013,3030,3060,5,0,9,0,4
1248,1278,0,16.555635,11.648342,57,1,13,1,0.28826824,0.17059156,2004,2012,2026,2066,4,0,7,0,5
1278,1308,0,20.465534,12.416489,79,3,11,1,0.11968255,0.07857143,1985,1996,2006,2035,3,0,9,0,3
