time_start_sec,draw_time_avg,janky_frames,missed_vsync_count,slow_ui_thread_count,slow_bitmap_uploads_count,slow_issue_draw_commands_count,draw_time_avg_ma,janky_frames_ma
80,39.16869,1,1,0,0,0,,
110,15.882146,0,0,0,0,0,,
140,20.498453,1,0,0,0,0,,
170,185.34108,0,0,0,0,0,,
200,21.2417,0,0,0,0,0,,
230,12.09289,0,0,0,0,0,,
260,95.19918,0,0,0,0,0,55.63201985714285,0.2857142857142857
290,57.480927,8,7,8,7,1,58.24805371428572,1.2857142857142858
320,100.95728,14,13,14,13,2,70.40164428571428,3.2857142857142856
350,66.74822,7,5,7,6,2,77.00875385714286,4.142857142857143
380,79.721,0,0,0,0,0,61.920170999999996,4.142857142857143
410,76.87897,9,6,7,7,3,69.86835242857143,5.428571428571429
440,54.45017,14,12,14,14,1,75.91939242857143,7.428571428571429
470,68.841774,0,0,0,0,0,72.15404871428571,7.428571428571429
530,131.31815,3,1,1,0,2,82.70222342857141,6.714285714285714
560,29.37838,3,2,2,1,2,72.47666628571429,5.142857142857143
590,106.606186,0,0,0,0,0,78.17066142857142,4.142857142857143
620,18.398441,1,0,1,1,0,69.41029585714286,4.285714285714286
650,14.410103,0,0,0,0,0,60.486171999999996,3.0
680,84.304756,2,1,1,0,1,64.75111285714286,1.2857142857142858
710,33.2909,1,1,1,0,1,59.67241657142856,1.4285714285714286
740,36.45916,2,1,1,0,1,46.121132285714275,1.2857142857142858
770,47.392597,1,0,0,0,0,48.694591857142846,1.0
800,121.863976,10,4,7,3,5,50.874276142857134,2.4285714285714284
830,31.98527,2,1,1,0,1,52.8152517142857,2.5714285714285716
860,35.928097,0,0,0,0,0,55.88925085714285,2.5714285714285716
890,78.66233,0,0,0,0,0,55.083189999999995,2.2857142857142856
920,37.561832,2,1,2,1,0,55.69332314285713,2.4285714285714284
950,21.273125,0,0,0,0,0,53.52388957142856,2.142857142857143
980,68.65701,12,9,11,11,1,56.56166285714284,3.7142857142857144
1010,37.987415,18,14,18,18,2,44.57929699999999,4.857142857142857
1040,21.547525,0,0,0,0,0,43.08819057142857,4.571428571428571
1070,153.97087,0,0,0,0,0,59.95144385714285,4.571428571428571
1100,89.132385,0,0,0,0,0,61.44716599999999,4.571428571428571
1130,57.420853,5,3,3,2,1,64.28416899999999,5.0
1160,35.447395,8,3,6,3,4,66.30906471428571,6.142857142857143
1190,17.468239,2,0,1,0,2,58.996383142857134,4.714285714285714
1220,145.18524,0,0,0,0,0,74.31035814285714,2.142857142857143
1250,108.86015,0,0,0,0,0,86.78359028571427,2.142857142857143
1280,43.39416,3,1,2,1,2,70.98691742857143,2.5714285714285716
1310,39.821342,0,0,0,0,0,63.9424827142857,2.5714285714285716
1340,38.715305,5,4,5,4,1,61.270261571428556,2.5714285714285716
